,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2018-02-01,9,0,0,0,0,4.91,0.0,10.64,4.91,17.18,5.73,0.0
2018-03-01,18,0,0,5,5,14.57,5.14,30.0,8.57,14.73,0.0,0.0
2018-04-01,21,5,5,5,5,5.04,5.04,12.6,0.0,4.67,4.67,4.67
2018-05-01,17,0,0,5,9,4.25,9.35,9.35,7.65,6.48,0.0,0.0
2018-06-01,13,0,5,5,5,9.53,7.8,14.73,10.4,11.38,4.88,4.88
2018-07-01,22,0,5,5,0,5.92,6.77,20.31,6.77,14.67,4.89,4.89
2018-08-01,24,0,9,0,5,4.14,22.34,14.9,4.14,10.06,0.0,0.0
2018-09-01,25,0,5,0,0,10.34,7.76,23.28,10.34,4.84,4.84,9.68
2018-10-01,12,5,5,10,0,6.86,5.14,18.0,9.43,8.0,4.8,4.8
2018-11-01,16,0,0,0,0,7.58,8.42,32.0,10.11,8.0,12.0,9.6
2018-12-01,7,5,5,5,5,10.89,4.67,19.44,7.0,4.67,4.67,4.67
2019-01-01,6,5,5,5,0,9.0,0.0,21.75,31.5,9.0,9.0,4.5
2019-02-01,16,5,5,5,0,10.95,5.05,16.0,7.58,8.0,0.0,0.0
2019-03-01,17,0,7,5,0,6.48,8.9,17.81,4.86,15.45,0.0,0.0
2019-04-01,16,0,5,0,0,0.0,0.0,19.37,9.26,11.2,4.8,4.8
2019-05-01,5,0,0,0,0,11.0,22.0,15.0,0.0,10.0,0.0,5.0
2019-06-01,12,5,5,0,5,11.2,5.6,17.6,4.8,4.5,4.5,0.0
2019-07-01,14,5,14,7,5,18.12,7.41,26.35,7.41,12.44,4.67,7.0
2019-08-01,12,0,7,5,5,8.8,8.8,15.2,8.8,0.0,4.5,9.0
2019-09-01,9,0,5,0,0,6.55,4.09,23.73,6.55,9.0,0.0,4.5
2019-10-01,15,0,7,0,0,7.06,4.41,19.41,12.35,4.17,0.0,0.0
2019-11-01,10,4,0,9,0,4.17,4.17,20.0,4.17,8.46,3.85,0.0
2019-12-01,14,6,6,4,4,4.38,6.12,15.75,7.0,4.12,0.0,4.12
2020-01-01,9,8,40,6,0,4.91,5.73,13.91,15.55,9.0,3.75,3.75
2020-02-01,8,0,4,0,0,4.44,4.44,14.22,4.44,4.0,4.0,4.0
2020-03-01,7,0,7,3,0,3.5,3.5,12.25,7.0,5.25,0.0,0.0
2020-04-01,12,3,7,0,0,3.43,6.86,8.57,6.86,3.2,0.0,3.2
2020-05-01,8,0,3,3,3,3.2,4.8,7.2,4.0,2.91,2.91,5.82
2020-06-01,6,3,5,3,0,0.0,4.5,12.75,3.0,9.0,3.0,3.75
2020-07-01,9,3,3,0,3,3.6,5.4,10.8,4.5,6.55,0.0,3.27
2020-08-01,6,0,0,6,0,0.0,12.0,15.43,10.29,6.0,6.0,0.0
