,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2018-02-01,10,0,6,0,0,6.36,6.36,11.82,0.0,13.57,0.0,0.0
2018-03-01,15,0,6,6,0,6.0,14.0,29.0,14.0,14.21,5.53,5.53
2018-04-01,19,6,6,6,11,11.4,8.55,15.2,5.7,8.71,0.0,5.54
2018-05-01,30,5,0,5,5,5.81,0.0,19.35,7.74,5.38,0.0,0.0
2018-06-01,11,0,6,6,6,5.5,8.25,17.42,5.5,9.43,5.5,0.0
2018-07-01,27,0,7,5,0,5.79,7.71,16.39,0.0,9.26,10.8,0.0
2018-08-01,17,0,16,5,0,7.56,8.5,13.22,10.39,6.95,5.41,0.0
2018-09-01,34,0,6,6,0,11.66,8.74,16.51,14.57,5.53,5.53,8.7
2018-10-01,11,6,0,5,11,8.0,6.0,19.0,9.0,11.0,5.5,5.5
2018-11-01,26,0,0,0,0,7.7,11.56,31.78,5.78,7.88,8.67,7.88
2018-12-01,19,6,6,11,6,11.4,11.4,24.7,9.5,20.58,8.71,0.0
2019-01-01,13,6,8,6,0,0.0,6.0,32.0,27.0,10.71,8.41,10.71
2019-02-01,12,0,0,8,0,5.54,12.0,23.08,5.54,7.5,6.0,6.0
2019-03-01,16,0,5,0,0,10.35,10.35,22.59,16.0,21.33,5.33,10.67
2019-04-01,24,0,13,0,0,5.76,5.76,16.32,7.68,14.71,5.42,0.0
2019-05-01,12,0,5,0,0,4.62,10.15,18.46,7.38,21.75,0.0,5.25
2019-06-01,20,8,7,0,0,6.0,11.0,9.0,6.0,12.8,11.2,0.0
2019-07-01,21,11,11,5,0,5.73,10.5,28.64,6.68,5.25,0.0,6.75
2019-08-01,18,0,5,5,5,10.42,5.68,12.32,5.68,0.0,5.48,5.48
2019-09-01,8,0,5,0,0,7.0,5.0,24.0,16.0,10.4,5.6,5.6
2019-10-01,13,0,7,0,0,0.0,4.64,17.64,9.29,9.94,0.0,0.0
2019-11-01,14,5,5,0,0,5.0,11.0,28.0,5.0,7.41,5.76,4.94
2019-12-01,13,5,5,7,0,7.0,5.0,15.0,10.0,7.31,0.0,4.88
2020-01-01,11,5,62,9,5,7.0,5.0,19.0,9.0,7.86,4.71,4.71
2020-02-01,11,4,7,0,4,0.0,5.0,12.0,9.0,0.0,7.07,4.71
2020-03-01,11,0,6,0,0,6.42,0.0,11.0,7.33,5.13,3.67,0.0
2020-04-01,17,0,9,6,0,3.78,7.56,9.44,4.72,11.09,0.0,5.17
2020-05-01,5,7,4,0,4,8.0,6.0,9.0,0.0,4.17,4.17,11.67
2020-06-01,12,4,4,0,4,0.0,3.69,10.15,0.0,3.75,0.0,4.5
2020-07-01,12,4,4,0,0,0.0,3.69,15.69,4.62,3.75,3.75,3.75
2020-08-01,7,7,7,7,0,7.0,0.0,11.0,7.0,0.0,0.0,14.0
